视频ID,帧序号,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面,身体平面与Y轴夹角_度_X轴为0向上为正_0到180,左髋X轴位移,右髋X轴位移,肩线中心X轴位移,左手X轴位移,肩线旋转减髋线旋转_度,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__合规,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__超下限,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__超上限,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__偏差,肩线与Z轴夹角_度_左正右负_近端终点_XZ平面__审判_0标准1轻微2异常,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__合规,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__超下限,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__超上限,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__偏差,髋线与Z轴夹角_度_左正右负_近端终点_XZ平面__审判_0标准1轻微2异常,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__合规,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__超下限,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__超上限,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__偏差,身体平面与Y轴夹角_度_X轴为0向上为正_0到180__审判_0标准1轻微2异常,左髋X轴位移__合规,左髋X轴位移__超下限,左髋X轴位移__超上限,左髋X轴位移__偏差,左髋X轴位移__审判_0标准1轻微2异常,右髋X轴位移__合规,右髋X轴位移__超下限,右髋X轴位移__超上限,右髋X轴位移__偏差,右髋X轴位移__审判_0标准1轻微2异常,肩线中心X轴位移__合规,肩线中心X轴位移__超下限,肩线中心X轴位移__超上限,肩线中心X轴位移__偏差,肩线中心X轴位移__审判_0标准1轻微2异常,左手X轴位移__合规,左手X轴位移__超下限,左手X轴位移__超上限,左手X轴位移__偏差,左手X轴位移__审判_0标准1轻微2异常,肩线旋转减髋线旋转_度__合规,肩线旋转减髋线旋转_度__超下限,肩线旋转减髋线旋转_度__超上限,肩线旋转减髋线旋转_度__偏差,肩线旋转减髋线旋转_度__审判_0标准1轻微2异常,帧级加权偏差,帧级评分_0到100,异常指标数_帧级,轻微偏差指标数_帧级,帧级结论,帧级异常_连续过滤后,帧级结论_连续过滤后
1,156,17.73194209630919,10.240989716800613,163.8713787967704,0.023379027843475342,-0.001892387866973877,0.009933441877365112,-0.07147523760795593,7.4909523795085775,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.049342106571801006,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.04230909862799569,1,0.01227575703390534,98.77242429660946,0,2,优秀,0,优秀
1,157,17.417548740762165,10.248841342647802,163.18004459922906,0.023442625999450684,-0.0018716156482696533,0.010020419955253601,-0.07162678241729736,7.168707398114362,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.05004957589634219,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.02631526810521778,1,0.009912873462720625,99.00871265372794,0,2,优秀,0,优秀
1,158,12.191693243130166,9.140176183329535,159.85253425813818,0.02305784821510315,-0.0016270875930786133,0.007256999611854553,-0.07278189063072205,3.0515170598006307,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.045769287026074544,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.005384622003067593,99.46153779969325,0,1,优秀,0,优秀
1,159,9.62866327246038,8.14220909232518,158.77638173157715,0.022082358598709106,-0.0005914866924285889,0.006520986557006836,-0.07336416840553284,1.4864541801351994,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.03491788780822926,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.004107986800968149,99.58920131990318,0,1,优秀,0,优秀
1,160,10.966196360287631,8.213024830578982,160.00877052692118,0.022286921739578247,-0.0006166696548461914,0.006726503372192383,-0.07253584265708923,2.7531715297086485,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.03719345924386687,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.004375701087513749,99.56242989124863,0,1,优秀,0,优秀
1,161,12.073558055427936,8.379864322493674,160.92156436009157,0.02273935079574585,-0.0006901323795318604,0.006738618016242981,-0.07229703664779663,3.6936937329342623,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.04222630451840277,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.004967800531576797,99.50321994684232,0,1,优秀,0,优秀
1,162,11.91606213051484,8.4635908432814,161.776753658121,0.02332630753517151,-0.0007435977458953857,0.0062337517738342285,-0.07187101244926453,3.4524712872334398,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.048755643012703846,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.00573595800149457,99.42640419985054,0,1,优秀,0,优秀
1,163,10.880371400397836,8.15783963031623,158.80957423443863,0.023261666297912598,-0.0006388425827026367,0.006280332803726196,-0.07190567255020142,2.7225317700816056,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.04803657039558584,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.005651361223010099,99.43486387769899,0,1,优秀,0,优秀
1,164,9.995691673620565,7.5940733218340135,158.2422125451705,0.0225827693939209,1.1742115020751953e-05,0.005782172083854675,-0.07200220227241516,2.401618351786551,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.04048448454129905,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.0047628805342704765,99.52371194657296,0,1,优秀,0,优秀
1,165,10.363616102219028,7.375055488008241,159.0216158282775,0.02233576774597168,0.0004305839538574219,0.0062229931354522705,-0.07202485203742981,2.9885606142107877,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0,0,1,0.03773682485910726,1,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,1,0,0,0.0,0,0.004439626454012619,99.55603735459874,0,1,优秀,0,优秀
